ctd,Item,Descripcion,Categoria,Proveedor,Nombre,email,Costo,PVP
38,Hickory wood 5B Precision drumstick,Baqueta modelo 5B precision de madera hickory americano con punta acorn,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,4.84,10
50,Hickory wood 5A Precision drumstick,Baqueta modelo 5A precision de madera hickory americano con punta acorn,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
6,Hickory wood 5A Black drumstick,"Baqueta modelo 5A de madera hickory americano con punta acorn, color negro.",Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
11,Hickory wood 5A Jazz drumstick,Baqueta modelo 5A jazz de madera hickory americano con punta acorn.,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
10,Hickory wood 5A XL drumstick,Baqueta modelo 5A XL de madera hickory americano con punta acorn.,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
37,Hickory wood 55F Precision drumstick,Baqueta modelo 55F precision de madera hickory americano con punta acorn,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
26,Hickory wood 55F XL drumstick,Baqueta modelo 55F XL precision de madera hickory americano con punta acorn,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
12,Hickory wood 5B Black drumstick,"Baqueta modelo 5B de madera hickory americano con punta acorn, color negro.",Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
10,Hickory wood 5B White drumstick,"Baqueta modelo 5B de madera hickory americano con punta acorn, color blanco",Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
21,Hickory wood 5B XL Danny Molina drumstick,Baqueta modelo 5B XL Danny Molina de madera hickory americano con punta acorn.,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
7,Hickory wood 2B drumstick,Baqueta modelo 2B de madera hickory americano con punta acorn,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
38,Hickory wood 5B XXL drumstick,Baqueta modelo 5B XXL de madera hickory americano con punta acorn.,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
12,Hickory wood Metal drumstick,Baqueta modelo Metal de madera hickory americano con punta acorn,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
12,Hickory wood Rock drumstick,Baqueta modelo Rock de madera hickory americano con punta acorn,Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7.98,14
12,Hickory wood El Pana Timpani drumstick,"Baqueta de timbal, modelo El Pana de madera hickory americano",Drumsticks,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,7,10
6,Heavy wire Brush 40 H,Escobillas modelo 40 H - Heavy wire brush,Brushes,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,16.84,35
3,Nylon Brush,Escobillas nylon brush,Brushes,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,15,35
5,Rots,Rots para efectos en batería,Rots,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,15,35
8,Chrome Drum Key,Llave afinadora acabado chrome (plateado),Drum Keys,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,5,10
9,Black Drum Key,Llave afinadora acabado negro (black beauty),Drum Keys,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,5,10
5,Relic Drum Key,Llave afinadora acabado Relic (cobre),Drum Keys,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,5,10
5,Practice Pad 6 inches,Pad de práctica de 6 pulgadas real feel,Pads,Wincent,Dan Nylen,dan.nylen@wincentdrumsticks.com,14.69,45
4,Hand Bells 8,Juego diatónico de 8 campanas de mano con colores,Educational,Rhythm band instruments,Lacy Beardmore,lacy.beardmore@rbimusic.com,35,55
3,Hand Bells 5,Juego cromático de 5 campanas de mano con colores,Educational,Rhythm band instruments,Lacy Beardmore,lacy.beardmore@rbimusic.com,30,45
1,Boomwhackers,Juego diatónico de 8 tubos coloridos para crear música y ritmo,Educational,Rhythm band instruments,Lacy Beardmore,lacy.beardmore@rbimusic.com,25,45
0,Boomwhackers ,Juego cromático de 5 tubos coloridos para crear música y ritmo,Educational,Rhythm band instruments,Lacy Beardmore,lacy.beardmore@rbimusic.com,20,35
5,Boomwhackers,Juego de extensión de agudos con 7 tubos coloridos para crear música y ritmo,Educational,Rhythm band instruments,Lacy Beardmore,lacy.beardmore@rbimusic.com,15,27
2,Boomwhackers backpack,Mochila para almacenar boomwhackers,Educational,Rhythm band instruments,Lacy Beardmore,lacy.beardmore@rbimusic.com,25,45
6,Boomwhackers Octavator Caps,Cápsulas octavadoras para boomwhackers (permite que suene una octava grave),Educational,Rhythm band instruments,Lacy Beardmore,lacy.beardmore@rbimusic.com,10,20
2,Practice Pad 10 inches,Pad de práctica de 10 pulgadas real feel,Pads,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,24.14,35
0,Bass Drum Patch,Protector de parche de bombo para doble pedal,Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,3.5,7.5
43,Bass Drum Patch,Protector de parche de bombo para pedal simple ,Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,2.5,5
14,Maximus Snare Patch,"Williams Double Ply Coated Density Maximus Series 14"" -  10-MIL ",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,12.7,18
12,DS 49 Snare Patch,"Williams Double Ply Oil Coated DS 49 SERIES 14"" -  7*7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,9.41,16
12,DS Inverted Dot Snare Patch,"Williams Single Ply Coated DS Inverted Dot Series 14"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,9.41,18
10,"Soundless Series 10"" Tom Patch","Williams Silngle Ply Soundless Series 10"" -  MESH",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.28,15
10,"Soundless Series 12"" Tom Patch","Williams Silngle Ply Soundless Series 12"" -  MESH",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.75,17
10,"Soundless Series 14"" Tom/Snare Patch","Williams Silngle Ply Soundless Series 14"" -  MESH",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,9.23,20
10,"Soundless Series 16"" Tom Patch","Williams Silngle Ply Soundless Series 16"" -  MESH",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,9.64,25
10,"Soundless Series 22"" Bass Drum Patch","Williams Silngle Ply Soundless Series 22"" -  MESH",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,11,40
10,"Clear Bottom Series 10"" Tom Patch","Williams Single Ply Clear Bottom Series 10"" -  3-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,7.05,10
10,"Clear Bottom Series 12"" Tom Patch","Williams Single Ply Clear Bottom Series 12"" -  3-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,7.06,12
10,"Clear Bottom Series 14"" Tom Patch","Williams Single Ply Clear Bottom Series 14"" -  3-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,7.12,1
5,"Coated Density BLACK Series 10"" Tom Patch","Williams Single Ply Coated Density BLACK Series 10"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.28,12
5,"Coated Density BLACK Series 12"" Tom Patch","Williams Single Ply Coated Density BLACK Series 12"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.33,14
5,"Coated Density BLACK Series 14"" Tom/Snare Patch","Williams Single Ply Coated Density BLACK Series 14"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.73,16
5,"Coated Density BLACK Series 16"" Tom Patch","Williams Single Ply Coated Density BLACK Series 16"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,9.08,18
5,"Coated Oil Density Series 10"" Tom Patch","Williams Double Ply Coated Oil Density Series 10"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,9.17,12
5,"Coated Oil Density Series 12"" Tom Patch","Williams Double Ply Coated Oil Density Series 12"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,9.88,14
5,"Coated Oil Density Series 14"" Tom/Snare Patch","Williams Double Ply Coated Oil Density Series 14"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,11.44,16
5,"Coated Oil Density Series 16"" Tom Patch","Williams Double Ply Coated Oil Density Series 16"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,12.58,18
5,"Coated Oil Density Series 20"" Bass Drum Patch","Williams Double Ply Coated Oil Density Series 20"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,13.31,30
5,"Coated Oil Density Series 16"" Bass Drum Patch","Williams Double Ply Coated Oil Density Series 22"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,14.17,35
10,"Coated Density Silent Circle Series 14"" Snare Patch","Williams Single Ply Coated Density Silent Circle Series 14"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,9.78,16
